"BusNum","GenID","GenStatus","GenVoltSet","GenRegNum","GenRMPCT","GenAGCAble","GenParFac","GenMWSetPoint","GenMWMax","GenMWMin","GenEnforceMWLimits","GenAVRAble","GenMvrSetPoint","GenMVRMax","GenMVRMin","GenUseCapCurve","GenWindControlMode","GenWindPowerFactor","GenUseLDCRCC","GenRLDCRCC","GenXLDCRCC","GenMVABase","GenZR","GenZX","GenStepR","GenStepX","GenStepTap","TSGovRespLimit","GenUnitType:1","AreaNum","ZoneNum","BANumber","OwnerNum","OwnPercent","OwnerNum:1","OwnPercent:1","OwnerNum:2","OwnPercent:2","OwnerNum:3","OwnPercent:3","OwnerNum:4","OwnPercent:4","OwnerNum:5","OwnPercent:5","OwnerNum:6","OwnPercent:6","OwnerNum:7","OwnPercent:7","EMSType","EMSDeviceID","DataMaintainerAssign","llLabels","GenUnitType","GenTotalFixedCosts","GenCostModel","GenFuelType","GenFuelCost","GenFixedCost","GenIOD","GenIOC","GenIOB"
10714,1,"Open",0.965976306956191,10707,1,"NO ",0.15436146924223,0,0.15436145616938,0.0897784647735619,"YES","YES",0,0.161063570472367,-10.6100000441074,"NO ","None",1,"NO",0,1,0.133676713047172,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10715,1,"Closed",0.965976306956191,10707,1,"NO ",0.15436146924223,0.123384706229823,0.15436145616938,0.193713813248888,"YES","YES",-0.0205535637229005,0.161072089049745,-10.6133997440338,"NO ","None",1,"NO",0,1,0.158556189690756,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10722,1,"Open",0.982865824225883,10717,1,"NO ",0.0747577003820961,0.0557003171388024,0.0747577006552705,0.0688670485577096,"YES","YES",0,0.0780076718908093,-5.1401000469923,"NO ","None",1,"NO",0,1,0.0744745005233979,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10723,1,"Closed",0.983618990842028,10717,1,"NO ",0.0747577003820961,0.0588541116469435,0.0747577006552705,0.0878364489342707,"YES","YES",0.0780080320628728,0.0780076718908093,-5.1401000469923,"NO ","None",1,"NO",0,1,0.086628566664568,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10724,1,"Closed",0.983618990842028,10717,1,"NO ",0.0747577003820961,0.0750626832455338,0.0747577006552705,0.0242173371350117,"YES","YES",0.0780080320628728,0.0780076718908093,-5.1401000469923,"NO ","None",1,"NO",0,1,0.0656095345944237,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10725,1,"Closed",0.983618990842028,10717,1,"NO ",0.0747577003820961,0.0510123637592232,0.0747577006552705,0.033974535312298,"YES","YES",0.0780080320628728,0.0780076718908093,-5.1401000469923,"NO ","None",1,"NO",0,1,0.0658968067191425,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10726,1,"Closed",0.983618990842028,10717,1,"NO ",0.0747577003820961,0.0508630726452787,0.0747577006552705,0.0669388709838849,"YES","YES",0.0780080320628728,0.0780076718908093,-5.1401000469923,"NO ","None",1,"NO",0,1,0.0603945946450822,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10727,1,"Open",0.982865824225883,10717,1,"NO ",0.0747577003820961,0.0502041922674718,0.0747577006552705,0.0593634475529989,"YES","YES",0,0.0780076718908093,-5.1401000469923,"NO ","None",1,"NO",0,1,0.069479293437012,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10728,1,"Closed",0.958134104059996,10728,1,"NO ",0.0199187583634087,0.0170398780309129,0.0199187582551076,0.0289113613136298,"YES","YES",-0.00265222582653206,0.0207846939494461,-1.36954998597503,"NO ","None",1,"NO",0,1,0.0182881761363754,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10728,2,"Open",0.958134104059996,10728,1,"NO ",0.0199187583634087,0,0.0199187582551076,0.0146654258689254,"YES","YES",0,0.0207792717248886,-1.37000000104308,"NO ","None",1,"NO",0,1,0.0202924715106171,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10729,1,"Open",0.953982316577106,10729,1,"NO ",0.0199187583634087,0,0.0199187582551076,0.0126694157476806,"YES","YES",0,0.0207792717248886,-1.37000000104308,"NO ","None",1,"NO",0,1,0.0158414464912967,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10729,2,"Closed",0.953982316577106,10729,1,"NO ",0.0199187583634087,0.0146400595209336,0.0199187582551076,0.0283238236272115,"YES","YES",-0.00265222582653206,0.0207846939494461,-1.36954998597503,"NO ","None",1,"NO",0,1,0.0183239867770242,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10731,1,"Open",0.957672844219084,10731,1,"NO ",0.0120581532675819,0,0.0120581533719307,0.0118500010168934,"YES","YES",0,0.0125876293819539,-0.82999998703599,"NO ","None",1,"NO",0,1,0.0105538247571717,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10731,2,"Open",0.957672844219084,10731,1,"NO ",0.0120581532675819,0.0107254829895735,0.0120581533719307,0.0144206607657798,"YES","YES",0,0.0125823629850314,-0.829080026596785,"NO ","None",1,"NO",0,1,0.0120424667972682,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10731,3,"Open",0.957672844219084,10731,1,"NO ",0.0120581532675819,0.0121073459877673,0.0120581533719307,0.00639190382009764,"YES","YES",0,0.0125823629850314,-0.829080026596785,"NO ","None",1,"NO",0,1,0.00958988438371537,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10731,4,"Closed",0.957672844219084,10731,1,"NO ",0.0120581532675819,0.00703399597467175,0.0120581533719307,0.008425266691553,"YES","YES",-0.00160735089933276,0.0125876293819539,-0.82999998703599,"NO ","None",1,"NO",0,1,0.01127092402566,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10731,5,"Open",0.957672844219084,10731,1,"NO ",0.0120581532675819,0.00885076589331285,0.0120581533719307,0.00873393906489493,"YES","YES",0,0.0125823629850314,-0.829080026596785,"NO ","None",1,"NO",0,1,0.011626228367891,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10737,1,"Closed",0.98474868465191,10734,1,"YES",0.113419326849015,0.113419337776129,0.113419333708405,0.152432789610977,"YES","YES",0.156876190470914,0.156875466155484,-17.6656499505043,"NO ","None",1,"NO",0,1,0.109554572104032,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0.217342569577611,"Cubic","Natural Gas",0.461928221890765,0.217342569577611,0,0.468009478672986,0.59679037111334
10738,1,"Closed",0.98474868465191,10734,1,"YES",0.113419326849015,0.113419337776129,0.113419333708405,0.123004772586078,"YES","YES",0.156876190470914,0.156875466155484,-17.6656499505043,"NO ","None",1,"NO",0,1,0.110763455270406,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0.217342569577611,"Cubic","Natural Gas",0.599822836904235,0.217342569577611,0,0.468009478672986,0.59679037111334
10742,1,"Closed",0.962839403351979,10739,1,"NO ",0.0570125447433122,0.0572451344821929,0.0570125452828801,0.0311947690404765,"YES","YES",-0.00759134421509281,0.0594910780252746,-3.92000004649162,"NO ","None",1,"NO",0,1,0.0544896593450919,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10743,1,"Open",0.962839403351979,10739,1,"NO ",0.0570125447433122,0.0493618531011266,0.0570125452828801,0.0671744220564269,"YES","YES",0,0.0594910780252746,-3.92000004649162,"NO ","None",1,"NO",0,1,0.0528100769495276,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10744,1,"Closed",0.962839403351979,10739,1,"NO ",0.0570125447433122,0.0459606873585865,0.0570125452828801,0.0712260658119352,"YES","YES",-0.00759134421509281,0.0594910780252746,-3.92000004649162,"NO ","None",1,"NO",0,1,0.0602793813733989,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10746,1,"Closed",0.94183154274358,10745,1,"NO ",0.0641391128362262,0.0474776834884736,0.0641391107883866,0.0418742062095415,"YES","YES",-0.025097913880802,0.037123824586378,-12.9600003361702,"NO ","None",1,"NO",0,1,0.0556897255222391,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Wind",0,0,0,0,0
10750,1,"Closed",0.950190446444534,10747,1,"NO ",0.291740314539852,0.292930499563391,0.291740311594334,0.308793367370708,"YES","YES",-0.0388475412778922,0.304426991544123,-20.0599998235703,"NO ","None",1,"NO",0,1,0.282625696797275,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10751,1,"Open",0.987573031405286,10747,1,"NO ",0.291737943946828,0.143868028821941,0.291737932845613,0.0995965262722663,"YES","YES",0,0.3044207815243,-20.0589671730995,"NO ","None",1,"NO",0,1,0.257579203286648,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10752,1,"Closed",0.950190446444534,10747,1,"NO ",0.291737943946828,0.209694939263685,0.291737932845613,0.127248035617516,"YES","YES",-0.0388455414806769,0.3044207815243,-20.0589671730995,"NO ","None",1,"NO",0,1,0.236603659426732,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10753,1,"Open",0.987573031405286,10747,1,"NO ",0.291737943946828,0.216512625090113,0.291737932845613,0.104253891570716,"YES","YES",0,0.3044207815243,-20.0589671730995,"NO ","None",1,"NO",0,1,0.260344062356654,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10754,1,"Closed",0.950190446444534,10747,1,"NO ",0.291737943946828,0.231201679887778,0.291737932845613,0.389564079359359,"YES","YES",-0.0388455414806769,0.3044207815243,-20.0589671730995,"NO ","None",1,"NO",0,1,0.276045827242015,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10755,1,"Closed",0.950190446444534,10747,1,"NO ",0.291740314539852,0.238948337486512,0.291740311594334,0.210946811869019,"YES","YES",-0.0388475412778922,0.304426991544123,-20.0599998235703,"NO ","None",1,"NO",0,1,0.3109261825576,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10757,1,"Closed",0.963208523453379,10757,1,"NO ",0.0288626007763018,0.0289803489850712,0.0288626007043271,0.0189120529764368,"YES","YES",-0.00384311787362307,0.0301173581781529,-1.98449995368719,"NO ","None",1,"NO",0,1,0.0258919839687331,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10757,2,"Closed",0.963208523453379,10757,1,"NO ",0.0288626007763018,0.0289803489850712,0.0288626007043271,0.0133492768936483,"YES","YES",-0.00384311787362307,0.0301173581781529,-1.98449995368719,"NO ","None",1,"NO",0,1,0.0268250713661551,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10757,3,"Closed",0.963208523453379,10757,1,"NO ",0.0288626007763018,0.0207094429915825,0.0288626007043271,0.0148274588080547,"YES","YES",-0.00384311787362307,0.0301173581781529,-1.98449995368719,"NO ","None",1,"NO",0,1,0.0327135099452525,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10757,4,"Open",0.963208523453379,10757,1,"NO ",0.0288626007763018,0,0.0288626007043271,0.020128192306255,"YES","YES",0,0.0301134826871573,-1.97999998927116,"NO ","None",1,"NO",0,1,0.0321935237895255,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10758,1,"Open",0.979099991145158,10758,1,"NO ",0.039623717509174,0.0246816494841351,0.0396237179733768,0.0408009892368601,"YES","YES",0,0.0413462975538616,-2.72439997643232,"NO ","None",1,"NO",0,1,0.036691470412623,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10758,2,"Closed",0.979099991145158,10758,1,"NO ",0.039623717509174,0.0397853674628268,0.0396237179733768,0.0384709102377717,"YES","YES",0.0413464884553582,0.0413462975538616,-2.72439997643232,"NO ","None",1,"NO",0,1,0.0362680214243757,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10760,1,"Open",0.979099991145158,10760,1,"NO ",0.0438283937714212,0.0331216622220967,0.0438283942127626,0.0274406448616679,"YES","YES",0,0,0,"NO ","None",1,"NO",0,1,0.0391769792432766,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Solar",0,0,0,0,0
10768,1,"Closed",0.982865824225883,10766,1,"NO ",0.190136828019522,0.152063272033343,0.190136834461789,0.256641490791705,"YES","YES",0.11005202081442,0.110051512691572,-38.4191989898682,"NO ","None",1,"NO",0,1,0.170914573017297,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Wind",0,0,0,0,0
10771,1,"Closed",0.983807198324561,10769,1,"NO ",0.0369334396852409,0.037084112310251,0.0369334381251437,0.0350197689327759,"YES","YES",0.0385392406500448,0.0385390627099345,-2.53942497074604,"NO ","None",1,"NO",0,1,0.0410070125982193,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10772,1,"Closed",0.983807198324561,10769,1,"NO ",0.0369334396852409,0.0297839973437672,0.0369334381251437,0.0466566136990463,"YES","YES",0.0385392406500448,0.0385390627099345,-2.53942497074604,"NO ","None",1,"NO",0,1,0.0298553265684814,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10773,1,"Open",0.964131043135202,10769,1,"NO ",0.036937003730487,0,0.0369298742498276,0.0438702163307863,"YES","YES",0,0.0385375130906756,-2.53999996930361,"NO ","None",1,"NO",0,1,0.0378074919587675,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10774,1,"Closed",0.983807198324561,10769,1,"NO ",0.0369334396852409,0.0296125320018594,0.0369334381251437,0.0414521672902778,"YES","YES",0.0385392406500448,0.0385390627099345,-2.53942497074604,"NO ","None",1,"NO",0,1,0.0326511964468442,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10776,1,"Open",0.947099668824413,10775,1,"NO ",0.0199543906601593,0,0.0199543906366198,0.00792101141239875,"YES","YES",0,0,0,"NO ","None",1,"NO",0,1,0.0181737931059533,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Solar",0,0,0,0,0
10776,2,"Closed",0.947099668824413,10775,1,"NO ",0.014253136185828,0.0102476676158379,0.01425313632072,0.0129118272499066,"YES","YES",0,0,0,"NO ","None",1,"NO",0,1,0.0135891057298409,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Solar",0,0,0,0,0
10778,1,"Closed",0.959517995811402,10778,1,"NO ",0.00712656809291402,0.00574458530431895,0.00712656816036001,0.00658913549888537,"YES","YES",-0.000948918026886601,0.00743638475315933,-0.490000005811453,"NO ","None",1,"NO",0,1,0.00655383532977529,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10778,2,"Closed",0.959517995811402,10778,1,"NO ",0.0105473209134413,0.0105903498578802,0.010547320856094,0.0107784582551753,"YES","YES",-0.00141369421988424,0.0109996519964914,-0.730000017210841,"NO ","None",1,"NO",0,1,0.00846894409051567,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10782,1,"Closed",0.954940749433891,10781,1,"NO ",0.013065375290104,0.00961111927450259,0.0130653750491551,0.0134395872299635,"YES","YES",0,0,0,"NO ","None",1,"NO",0,1,0.0154839638467983,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Solar",0,0,0,0,0
10782,2,"Closed",0.954940749433891,10781,1,"NO ",0.013065375290104,0.0104835241604997,0.0130653750491551,0.0154868928583129,"YES","YES",0,0,0,"NO ","None",1,"NO",0,1,0.0105602039937372,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Solar",0,0,0,0,0
10783,1,"Closed",0.954940749433891,10781,1,"NO ",0.013065375290104,0.00947602026356785,0.0130653750491551,0.00732255730694981,"YES","YES",0,0,0,"NO ","None",1,"NO",0,1,0.012530354615069,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Solar",0,0,0,0,0
10784,1,"Closed",0.959517995811402,10784,1,"NO ",0.0280786793735092,0.0123169945910409,0.0280786776916459,0.0110261162445858,"YES","YES",0,0,0,"NO ","None",1,"NO",0,1,0.0248446865078185,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Solar",0,0,0,0,0
10784,2,"Closed",0.959517995811402,10784,1,"NO ",0.0414766268444736,0.0306476129356163,0.0414766272986019,0.0323353739828186,"YES","YES",0,0,0,"NO ","None",1,"NO",0,1,0.0366366096267858,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Solar",0,0,0,0,0
